127.0.0.1 - - [25/Dec/2025:23:43:00 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:43:06 +0530] "GET /MvcUpload/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:47:44 +0530] "GET /MvcUpload/file HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:48:48 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:50:52 +0530] "GET /MvcUpload/download?fileId=13 HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:57:48 +0530] "GET /MvcUpload/uploadSuccess HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:57:54 +0530] "GET /MvcUpload/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:57:56 +0530] "GET /MvcUpload/uploadSuccess HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:57:59 +0530] "GET /MvcUpload/uploadSuccess HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:58:00 +0530] "GET /MvcUpload/uploadSuccess HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:58:00 +0530] "GET /MvcUpload/uploadSuccess HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:58:01 +0530] "GET /MvcUpload/uploadSuccess HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:58:01 +0530] "GET /MvcUpload/uploadSuccess HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:58:03 +0530] "GET /MvcUpload/file HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:58:10 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 4592
0:0:0:0:0:0:0:1 - - [25/Dec/2025:23:58:17 +0530] "GET /MvcUpload/download?fileId=7 HTTP/1.1" 404 683
